
  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    46  3.0067e-03  7.8158e-07  5.6103e-07  4.6322e-03  2.4075e-03  5.1935e-01  7.6044e-02  0:23:43  954
    47  2.8652e-03  6.9354e-07  4.8549e-07  4.3425e-03  2.2983e-03  5.2189e-01  7.6059e-02  0:22:07  953
    48  2.7304e-03  6.2197e-07  4.2483e-07  4.0779e-03  2.1963e-03  5.2416e-01  7.6077e-02  0:20:51  952
    49  2.5692e-03  5.6165e-07  3.7485e-07  3.8366e-03  2.1013e-03  5.2619e-01  7.6095e-02  0:23:00  951
    50  2.4262e-03  5.0797e-07  3.3537e-07  3.6146e-03  2.0133e-03  5.2800e-01  7.6115e-02  0:24:43  950
    51  2.3504e-03  4.6033e-07  3.0423e-07  3.4077e-03  1.9303e-03  5.2962e-01  7.6134e-02  0:22:55  949
    52  2.3041e-03  4.2148e-07  2.7868e-07  3.2175e-03  1.8513e-03  5.3107e-01  7.6153e-02  0:21:28  948
    53  2.2582e-03  3.9076e-07  2.5676e-07  3.0393e-03  1.7760e-03  5.3236e-01  7.6172e-02  0:23:28  947
    54  2.2049e-03  3.6502e-07  2.3685e-07  2.8777e-03  1.7052e-03  5.3353e-01  7.6191e-02  0:21:55  946
    55  2.0780e-03  3.4283e-07  2.1866e-07  2.7287e-03  1.6387e-03  5.3459e-01  7.6208e-02  0:23:49  945

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    56  2.0234e-03  3.2271e-07  2.0495e-07  2.5919e-03  1.5750e-03  5.3554e-01  7.6225e-02  0:22:11  944
    57  1.9991e-03  3.0388e-07  1.9459e-07  2.4651e-03  1.5134e-03  5.3641e-01  7.6242e-02  0:24:01  943
    58  2.0185e-03  2.8583e-07  1.8522e-07  2.3474e-03  1.4537e-03  5.3719e-01  7.6258e-02  0:22:20  942
    59  2.1060e-03  2.6803e-07  1.7610e-07  2.2376e-03  1.3969e-03  5.3791e-01  7.6274e-02  0:24:07  941
    60  2.1262e-03  2.5325e-07  1.6560e-07  2.1363e-03  1.3431e-03  5.3856e-01  7.6289e-02  0:22:24  940
    61  2.0186e-03  2.4178e-07  1.5412e-07  2.0432e-03  1.2919e-03  5.3916e-01  7.6303e-02  0:21:02  939
